concept_id,preferred_id,locale,source_course_ids,status
math.category.coimage_image_comparison,morfisme pembanding kocitra–citra,id-ID,O014,provisional
math.category.epi_mono_factorization,faktorisasi epi–mono,id-ID,O014,provisional
math.category.epi_mono_factorization_category,kategori faktorisasi epi–mono,id-ID,O014,provisional
math.category.ab_subcategory,subkategori-Ab,id-ID,O014,provisional
math.category.biproduct,biproduk,id-ID,O014,active
math.category.diagonal_morphism,morfisme diagonal,id-ID,O014,active
math.category.codiagonal_morphism,morfisme kodiagonal,id-ID,O014,active
math.category.additive_subcategory,subkategori aditif,id-ID,O014,active
math.category.direct_sum_summand,suku jumlah langsung,id-ID,O014,provisional
math.category.finite_product,produk hingga,id-ID,O014,active
math.category.finite_coproduct,koproduk hingga,id-ID,O014,active
math.category.addition_of_morphisms,penjumlahan morfisme,id-ID,O014,active
math.category.functoriality,funktorialitas,id-ID,O014,active
math.algebra.bilinear_map,pemetaan bilinear,id-ID,O014,provisional
math.algebra.pointwise_addition,penjumlahan titik demi titik,id-ID,O014,active
math.category.forgetful_functor,funktor pelupa,id-ID,O014,active
math.functional_analysis.banach_space,ruang Banach,id-ID,O014,active
math.functional_analysis.quotient_norm,norma kuosien,id-ID,O014,provisional
math.topology.quotient_topology,topologi kuosien,id-ID,O014,provisional
math.topology.induced_topology,topologi terinduksi,id-ID,O014,provisional
math.topology.dense_image,citra padat,id-ID,O014,provisional
math.topology.closure,penutupan,id-ID,O014,active
math.algebra.commutative_ring,gelanggang komutatif,id-ID,O014,active
math.algebra.scalar_multiplication,perkalian skalar,id-ID,O014,active
math.category.k_mod_enriched_category,kategori-k-Mod,id-ID,O014,provisional
math.category.k_linear_functor,funktor k-linear,id-ID,O014,active
math.algebra.k_algebra,aljabar-k,id-ID,O014,active
math.category.identity_functor,funktor identitas,id-ID,O014,active
math.category.category_center,pusat kategori,id-ID,O014,active
math.algebra.commutative_monoid,monoid komutatif,id-ID,O014,active
math.algebra.ring_homomorphism,homomorfisme gelanggang,id-ID,O014,active
math.category.cocone,kokonus,id-ID,O014,provisional
math.category.categorical_cone,konus,id-ID,O014,provisional
math.category.cone_base,alas,id-ID,O014,active
math.category.cone_apex,puncak,id-ID,O014,provisional
math.category.diagonal_functor,funktor diagonal,id-ID,O014,active
math.category.projective_limit,limit projektif,id-ID,O014,provisional
math.category.reflects_limit,merefleksikan limit,id-ID,O014,active
math.category.conservative_functor,funktor konservatif,id-ID,O014,active
math.group.group_homomorphism,homomorfisme grup,id-ID,O014,active
math.algebra.direct_product,hasil kali langsung,id-ID,O014,provisional
math.group.subgroup,subgrup,id-ID,O014,active
math.topology.compact_hausdorff_space,ruang Hausdorff kompak,id-ID,O014,active
math.category.projection_functor,funktor proyeksi,id-ID,O014,active
math.category.evaluation_functor,funktor evaluasi,id-ID,O014,active
math.category.pointwise_limit,limit titik demi titik,id-ID,O014,provisional
math.category.connected_category,kategori terhubung,id-ID,O014,active
math.category.comma_category,kategori koma,id-ID,O014,active
math.category.constant_functor,funktor konstan,id-ID,O014,active
math.category.inclusion_functor,funktor inklusi,id-ID,O014,active
math.category.filtered_category,kategori terfilter,id-ID,O014,provisional
math.order.filtered_poset,himpunan terurut parsial terfilter,id-ID,O014,provisional
math.category.functor_restriction,pembatasan funktor,id-ID,O014,active
math.category.iterated_limit,limit rangkap,id-ID,O014,provisional
math.set_theory.binary_relation,relasi biner,id-ID,O014,active
math.set_theory.equivalence_relation,relasi ekuivalensi,id-ID,O014,active
math.set_theory.disjoint_union,gabungan saling lepas,id-ID,O014,provisional
math.category.finite_category,kategori berhingga,id-ID,O014,active
math.category.natural_isomorphism,isomorfisme alami,id-ID,O014,active
math.category.left_kan_extension,ekstensi Kan kiri,id-ID,O014,active
math.category.right_kan_extension,ekstensi Kan kanan,id-ID,O014,active
math.category.precomposition_functor,funktor tarik balik,id-ID,O014,provisional
math.category.two_category,2-kategori,id-ID,O014,active
math.category.vertical_composition,komposisi vertikal,id-ID,O014,active
math.category.horizontal_composition,komposisi horizontal,id-ID,O014,active
math.category.pointwise_kan_extension,ekstensi Kan titik demi titik,id-ID,O014,provisional
math.category.preserves_kan_extension,mempertahankan ekstensi Kan,id-ID,O014,provisional
math.sheaf.presheaf,praberkas,id-ID,O014,provisional
math.sheaf.direct_image,citra langsung,id-ID,O014,provisional
math.sheaf.inverse_image,citra invers,id-ID,O014,provisional
math.category.localization_functor,funktor lokalisasi,id-ID,O014,active
math.category.essential_image,citra esensial,id-ID,O014,active
math.category.left_multiplicative_system,sistem multiplikatif kiri,id-ID,O014,active
math.category.right_multiplicative_system,sistem multiplikatif kanan,id-ID,O014,active
math.category.calculus_of_fractions,kalkulus pecahan,id-ID,O014,provisional
math.algebra.multiplicative_subset,himpunan multiplikatif,id-ID,O014,active
math.algebra.ring_localization,lokalisasi gelanggang,id-ID,O014,active
math.algebra.noncommutative_localization,lokalisasi nonkomutatif,id-ID,O014,provisional
math.category.central_localization,lokalisasi sentral,id-ID,O014,provisional
math.category.reflective_localization,lokalisasi reflektif,id-ID,O014,active
math.category.kan_extension_along_localization,ekstensi Kan sepanjang lokalisasi,id-ID,O014,active
math.category.resolution_condition,syarat resolusi,id-ID,O014,provisional
math.category.weakly_initial_family,keluarga awal lemah,id-ID,O014,active
math.category.weakly_initial_object,objek awal lemah,id-ID,O014,active
math.category.weakly_terminal_family,keluarga terminal lemah,id-ID,O014,active
math.category.weakly_terminal_object,objek terminal lemah,id-ID,O014,active
math.category.solution_set_condition,syarat himpunan solusi,id-ID,O014,active
math.category.cosolution_set_condition,syarat himpunan kosolusi,id-ID,O014,active
math.category.general_adjoint_functor_theorem,teorema funktor adjoin umum,id-ID,O014,active
math.category.special_adjoint_functor_theorem,teorema funktor adjoin khusus,id-ID,O014,active
math.category.generating_family,keluarga generator,id-ID,O014,active
math.category.cogenerating_family,keluarga kogenerator,id-ID,O014,active
math.category.well_powered_category,kategori well-powered,id-ID,O014,provisional
math.category.well_copowered_category,kategori co-well-powered,id-ID,O014,active
math.category.representable_functor,funktor terwakili,id-ID,O014,active
math.topology.stone_cech_compactification,kompaktifikasi Stone--Čech,id-ID,O014,active
math.group.free_group,grup bebas,id-ID,O014,active
math.group.free_product,produk bebas,id-ID,O014,active
math.group.amalgamated_free_product,produk bebas teramalgamasi,id-ID,O014,active
math.category.injective_object,objek injektif,id-ID,O014,active
math.category.projective_object,objek projektif,id-ID,O014,active
math.homological.snake_lemma,lema ular,id-ID,O014,provisional
math.homological.five_lemma,lema lima,id-ID,O014,active
math.category.abelian_subcategory,subkategori abelian,id-ID,O014,active
math.category.serre_subcategory,subkategori Serre,id-ID,O014,active
math.category.indecomposable_object,objek tak terurai,id-ID,O014,provisional
math.category.simple_object,objek sederhana,id-ID,O014,active
math.algebra.composition_series,deret komposisi,id-ID,O014,provisional
math.order.lattice_theory,teori kisi,id-ID,O014,active
math.ktheory.k0_group,grup K_0,id-ID,O014,active
math.ktheory.euler_poincare_principle,prinsip Euler--Poincaré,id-ID,O014,active
math.category.exact_category,kategori eksak,id-ID,O014,active
math.category.krull_remak_schmidt_theorem,teorema Krull--Remak--Schmidt,id-ID,O014,active
math.homological.short_exact_sequence,barisan eksak pendek,id-ID,O014,active
math.category.exactness_criterion,kriteria keeksakan,id-ID,O014,active
math.homological.connecting_morphism,morfisme penghubung,id-ID,O014,active
math.category.canonicality,sifat kanonik,id-ID,O014,active
math.category.self_dual,swa-dual,id-ID,O014,active
math.homological.salamander_lemma,lema Salamander,id-ID,O014,active
math.order.lattice,kisi,id-ID,O014,active
math.order.bounded_lattice,kisi terbatas,id-ID,O014,active
math.order.modular_lattice,kisi modular,id-ID,O014,active
math.order.complement,komplemen,id-ID,O014,active
math.order.standard_isomorphism,isomorfisme standar,id-ID,O014,active
math.order.refinement,penghalusan,id-ID,O014,active
math.order.proper_refinement,penghalusan sejati,id-ID,O014,active
math.order.ascending_chain,rantai naik,id-ID,O014,active
math.order.descending_chain,rantai menurun,id-ID,O014,active
math.order.noetherian,Noetherian,id-ID,O014,active
math.order.artinian,Artinian,id-ID,O014,active
math.order.finite_length,berpanjang hingga,id-ID,O014,active
math.algebra.idempotent,idempoten,id-ID,O014,active
math.category.karoubian_category,kategori Karoubi,id-ID,O014,active
math.category.pseudoabelian_category,kategori pseudoabelian,id-ID,O014,active
math.homological.split_short_exact_sequence,barisan eksak pendek terbelah,id-ID,O014,active
math.category.section,penampang,id-ID,O014,active
math.category.retraction,retraksi,id-ID,O014,active
math.category.double_chain,rantai ganda,id-ID,O014,active
math.category.double_chain_condition,syarat rantai ganda,id-ID,O014,active
math.algebra.nilpotent,nilpoten,id-ID,O014,active
math.algebra.local_ring,gelanggang lokal,id-ID,O014,active
math.category.fitting_lemma,Lema Fitting,id-ID,O014,active
math.category.subobject_intersection,irisan subobjek,id-ID,O014,active
math.category.subobject_sum,jumlah subobjek,id-ID,O014,active
math.category.increasing_union,gabungan naik,id-ID,O014,active
math.category.subobject_preimage,prabayang subobjek,id-ID,O014,active
math.category.canonical_isomorphism,isomorfisme kanonik,id-ID,O014,active
math.category.antidiagonal_morphism,morfisme antidiagonal,id-ID,O014,active
math.order.order_reversing_bijection,bijeksi pembalik urutan,id-ID,O014,active
math.algebra.isomorphism_theorem,teorema isomorfisme,id-ID,O014,active
math.category.semisimple_object,objek semisederhana,id-ID,O014,active
math.category.split_object,objek terbelah,id-ID,O014,active
math.category.semisimple_abelian_category,kategori abelian semisederhana,id-ID,O014,active
math.category.split_abelian_category,kategori abelian terbelah,id-ID,O014,active
math.algebra.composition_factor,faktor komposisi,id-ID,O014,active
math.algebra.multiplicity,multiplicitas,id-ID,O014,active
math.algebra.division_ring,gelanggang pembagian,id-ID,O014,active
math.algebra.schur_lemma,Lema Schur,id-ID,O014,active
math.category.exact_functor,funktor eksak,id-ID,O014,active
math.category.left_exact_functor,funktor eksak kiri,id-ID,O014,active
math.category.right_exact_functor,funktor eksak kanan,id-ID,O014,active
math.category.faithfully_exact_functor,funktor eksak setia,id-ID,O014,active
math.category.enough_injective_objects,cukup banyak objek injektif,id-ID,O014,active
math.category.enough_projective_objects,cukup banyak objek projektif,id-ID,O014,active
math.category.arrow_category,kategori panah,id-ID,O014,active
math.category.localization_exactness,keeksakan lokalisasi,id-ID,O014,active
math.category.weak_serre_subcategory,subkategori Serre lemah,id-ID,O014,active
math.category.small_skeleton,kerangka kecil,id-ID,O014,active
math.algebra.s_torsion_module,modul torsi-S,id-ID,O014,active
math.category.strong_generator,generator kuat,id-ID,O014,active
math.category.injective_cogenerator,kogenerator injektif,id-ID,O014,active
math.category.small_object_argument,argumen objek kecil,id-ID,O014,active
math.category.alpha_small_object_relative_to_i,objek alpha-kecil relatif terhadap I,id-ID,O014,active
math.set_theory.regular_small_cardinal,kardinal kecil regular,id-ID,O014,active
math.set_theory.transfinite_recursion,rekursi transfinit,id-ID,O014,active
math.set_theory.successor_ordinal,ordinal penerus,id-ID,O014,active
math.set_theory.limit_ordinal,ordinal limit,id-ID,O014,active
math.category.karoubi_envelope,selubung Karoubi,id-ID,O014,active
math.homological.schanuel_lemma,Lema Schanuel,id-ID,O014,active
math.homological.complex_homotopy,homotopi kompleks,id-ID,O014,active
math.homological.hom_complex,kompleks Hom,id-ID,O014,active
math.homological.total_complex,kompleks total,id-ID,O014,active
math.homological.long_exact_sequence,barisan eksak panjang,id-ID,O014,active
math.homological.resolution,resolusi,id-ID,O014,active
math.homological.truncation_functor,funktor pemenggalan,id-ID,O014,active
math.homological.cartan_eilenberg_resolution,resolusi Cartan-Eilenberg,id-ID,O014,active
math.homological.hyperderived_functor,funktor hiperturunan,id-ID,O014,provisional
math.homological.effaceable_functor,funktor yang dapat dihapus,id-ID,O014,provisional
math.homological.coeffaceable_functor,funktor yang dapat dihapus secara dual,id-ID,O014,provisional
math.category.bifunctor,bifunktor,id-ID,O014,active
math.homological.balanced_bifunctor,bifunktor seimbang,id-ID,O014,active
math.homological.mittag_leffler_condition,syarat Mittag-Leffler,id-ID,O014,active
math.homological.k_injective_complex,kompleks K-injektif,id-ID,O014,active
math.homological.k_projective_complex,kompleks K-projektif,id-ID,O014,active
math.homological.mapping_cylinder,silinder pemetaan,id-ID,O014,active
math.algebra.graded_object,objek bergradasi,id-ID,O014,active
math.algebra.differential_graded_object,objek diferensial bergradasi,id-ID,O014,active
math.algebra.bigraded_object,objek bergradasi ganda,id-ID,O014,active
math.homological.complex_category,kategori kompleks,id-ID,O014,active
math.homological.concentrated_complex,kompleks terkonsentrasi,id-ID,O014,active
math.algebra.leibniz_rule,aturan Leibniz,id-ID,O014,active
math.homological.homotopic_morphism,morfisme homotopik,id-ID,O014,active
math.homological.null_homotopic_morphism,morfisme homotopik nol,id-ID,O014,active
math.homological.homotopy_category,kategori homotopi,id-ID,O014,active
math.homological.homotopy_cokernel,kokernel homotopi,id-ID,O014,active
math.homological.homotopy_kernel,kernel homotopi,id-ID,O014,active
math.homological.homotopy_coimage,kocitra homotopi,id-ID,O014,active
math.homological.koszul_sign_rule,aturan tanda Koszul,id-ID,O014,active
math.homological.k_fold_complex,kompleks lipat-k,id-ID,O014,active
math.homological.hom_bicomplex,bikompleks Hom,id-ID,O014,active
math.homological.bicomplex_homotopy,homotopi bikompleks,id-ID,O014,active
